temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,5.0,5.0,-1.0,-0.6,0.11920292202211755,0.23147521650098238,0,balanced,1,0,1,0.0,False,True,True,"{'β': 0.9324602280448158, '$\\delta$': -8.874365547163983e-05}",False,0.0
,5.0,5.0,-0.1,-0.3,0.45016600268752216,0.35434369377420455,1,balanced,1,0,0,0.0,True,True,True,"{'β': 1.080550869473152, '$\\delta$': -8.874365547163983e-05}",False,0.0
,5.0,5.0,0.8,0.8,0.8320183851339245,0.8320183851339245,2,balanced,1,0,0,0.8871122983460324,True,True,True,"{'β': 1.7151837770971359, '$\\delta$': 0.40695428539646855}",True,0.8871122983460324
,5.0,5.0,1.0,1.0,0.8807970779778823,0.8807970779778823,3,balanced,1,0,0,0.0,True,True,True,"{'β': 0.3841348597713744, '$\\delta$': 0.40695428539646855}",False,0.8871122983460324
,5.0,5.0,0.3,1.0,0.6456563062257954,0.8807970779778823,4,balanced,1,0,0,0.0,True,True,False,"{'β': 0.14763594406773656, '$\\delta$': 0.40695428539646855}",False,0.8871122983460324
,5.0,5.0,0.8,0.6,0.8320183851339245,0.7685247834990175,5,balanced,1,0,0,0.5422829546448679,True,True,True,"{'β': 0.6122388579537383, '$\\delta$': 0.3192442620444106}",True,1.4293952529909002
,5.0,5.0,-0.6,-0.1,0.23147521650098238,0.45016600268752216,6,balanced,1,0,0,0.7039283429721942,True,False,False,"{'β': 0.218516486044554, '$\\delta$': 0.3598264755841548}",True,2.1333235959630943
,5.0,5.0,0.3,-0.8,0.6456563062257954,0.16798161486607552,7,balanced,1,0,0,0.5972394180916335,True,True,True,"{'β': 0.37364764798060507, '$\\delta$': 0.3329684087697732}",True,2.7305630140547277
,5.0,5.0,0.8,-1.0,0.8320183851339245,0.11920292202211755,8,balanced,1,0,0,0.49206551513887026,True,True,True,"{'β': 0.6975765678800446, '$\\delta$': 0.27241551770736944}",True,3.222628529193598
,5.0,5.0,-0.6,-0.8,0.23147521650098238,0.16798161486607552,9,balanced,1,0,0,0.5143131527404469,True,True,True,"{'β': 0.3819275282508454, '$\\delta$': 0.23696566608250239}",True,3.736941681934045
,5.0,5.0,-0.3,0.8,0.35434369377420455,0.8320183851339245,10,balanced,1,0,0,0.29293872290867634,True,False,False,"{'β': 0.24882181977553575, '$\\delta$': 0.14752488905726127}",True,4.0298804048427215
,5.0,5.0,-0.6,0.1,0.23147521650098238,0.549833997312478,11,balanced,1,0,0,0.0,True,False,False,"{'β': 0.4653366375998361, '$\\delta$': 0.14752488905726127}",False,4.0298804048427215
,5.0,5.0,-1.0,0.3,0.11920292202211755,0.6456563062257954,12,balanced,1,0,0,0.0,True,False,False,"{'β': 0.7344452289799731, '$\\delta$': 0.14752488905726127}",False,4.0298804048427215
,5.0,5.0,0.6,0.3,0.7685247834990175,0.6456563062257954,13,balanced,1,0,0,0.44878741191654165,True,True,True,"{'β': 0.8904210237131934, '$\\delta$': 0.11812068690833091}",True,4.4786678167592635
,5.0,5.0,0.1,0.1,0.549833997312478,0.549833997312478,14,balanced,1,0,0,0.6425808972142095,True,True,True,"{'β': 0.9226807711551411, '$\\delta$': 0.13813748446721116}",True,5.121248713973473
,5.0,5.0,-0.8,0.8,0.16798161486607552,0.8320183851339245,15,balanced,1,0,1,0.42909295432228844,False,True,True,"{'β': 1.0885108312402658, '$\\delta$': 0.1398805495301322}",True,5.550341668295761
,5.0,5.0,-0.1,-1.0,0.45016600268752216,0.11920292202211755,16,balanced,1,0,0,0.0,True,True,True,"{'β': 1.118993177714079, '$\\delta$': 0.1398805495301322}",False,5.550341668295761
,5.0,5.0,-1.0,0.1,0.11920292202211755,0.549833997312478,17,balanced,1,0,1,0.21261439388550715,False,True,True,"{'β': 1.149600529481804, '$\\delta$': 0.18219701017412307}",True,5.762956062181268
