agent,model,original_model,ll,fitted_rl_temp,fitted_perceptual_temp,rl_temp,perceptual_temp
1,NormativeLogRatio,balanced,9.236308557092949,8.650088141930436,6.5830076985863775,5.0,5.0
2,NormativeLogRatio,value neglect,3.600511717825128,0.5373701151571882,30.0,1.0,10.0
3,NormativeLogRatio,perceptual neglect,6.926250476431505,4.334147521457011,0.8654267906463801,10.0,1.0
4,NormativeLogRatio,random,33.545916024921944,0.5665939969444341,0.0,,
5,NormativeLogRatio,balanced,17.98359595650287,2.8533258055725588,3.918691536177647,5.0,5.0
6,NormativeLogRatio,value neglect,5.267181229035332,1.8742491668555814,30.0,1.0,10.0
7,NormativeLogRatio,perceptual neglect,15.900609134929867,6.667268099774486,0.7896551268058711,10.0,1.0
8,NormativeLogRatio,random,33.942069007311936,0.14337286613090786,0.0,,
9,NormativeLogRatio,balanced,13.006706774025343,3.050557310829445,3.4715583403689934,5.0,5.0
10,NormativeLogRatio,value neglect,5.818940179814997,0.0923199109672955,30.0,1.0,10.0
11,NormativeLogRatio,perceptual neglect,12.606811401776547,6.916140306143811,0.8631411360909915,10.0,1.0
12,NormativeLogRatio,random,32.719947185061216,0.0,0.7282241100965768,,
13,NormativeLogRatio,balanced,14.254830412018391,4.42035653728931,3.5773659154275226,5.0,5.0
14,NormativeLogRatio,value neglect,9.929693745202089,0.7352415564763944,7.740261314269333,1.0,10.0
15,NormativeLogRatio,perceptual neglect,9.60664391497343,8.2462877374105,0.1850809924020236,10.0,1.0
16,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
17,NormativeLogRatio,balanced,15.249645978732275,5.947422828612285,4.118090260332385,5.0,5.0
18,NormativeLogRatio,value neglect,5.520147025119559,4.007484923568318,16.809133472043033,1.0,10.0
19,NormativeLogRatio,perceptual neglect,6.118568364276225,11.512852013187695,0.0,10.0,1.0
20,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
21,NormativeLogRatio,balanced,15.520207827130582,2.8645103293761447,1.4609333960711604,5.0,5.0
22,NormativeLogRatio,value neglect,22.78948240982754,0.8744348904120054,4.564092356716043,1.0,10.0
23,NormativeLogRatio,perceptual neglect,18.875821938507293,4.666185500865684,0.0,10.0,1.0
24,NormativeLogRatio,random,32.86541358836441,0.6599496459928481,0.0,,
25,NormativeLogRatio,balanced,15.52459571822683,2.602149159232431,3.6916614125680085,5.0,5.0
26,NormativeLogRatio,value neglect,3.5137289076138734,0.123979886174974,30.0,1.0,10.0
27,NormativeLogRatio,perceptual neglect,6.941130087367106,6.458516620051994,0.8791641209328815,10.0,1.0
28,NormativeLogRatio,random,33.963662704453874,0.020261818353198187,0.0,,
