agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,266.9465043840524,187.27570773880228,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,1.5234036254696548e-11,187.27570773880228,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value,0.42132568359375,198.66074324431602,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,878.1636657714844,187.01707399505648,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,750.6124954904133,158.67179248551093,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,46.11057326778564,158.67179248551093,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,1.6355094568098139,196.27865379489387,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,23.471522971987724,166.93785857803863,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.0231815394945443e-12,194.0815760475803,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.0043040901164204115,194.0815760475803,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,0.025390625,194.08272352230975,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,5.21540641784668e-06,194.08122984771651,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.0025482177734375,205.19430223966282,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.0025482177734375,205.19430223966282,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,value,0.38422365460462515,204.95019114470074,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,1.6239937394857407e-08,205.17156561804592,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,788.948569917131,157.7487162891433,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,157.94694900229297,157.7487162891433,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,value,2.6568405382358833,191.28965097547166,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,145.69335002788137,162.74296586341435,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,absolute,0.2635055592093636,142.13085636881712,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,638.2296932345605,142.13085636881712,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,value,412.0305837989054,141.4789203638107,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,88.40852308969625,198.3205352439111,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,822.9079241968711,157.27079075090458,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,94.32283531496347,157.27079075090458,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,value,893.3513393683388,190.95386331035604,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual,563.5780334472656,177.76335827040558,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,absolute,335.6194907778154,190.6989714815325,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute,453.52895013482794,190.6989714815325,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,value,883.9754299968481,189.04060725397665,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual,2.008676528930664e-05,198.9332774983269,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,795.942041391274,152.89470289166758,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,151.4354604621185,152.89470289166758,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value,1.3446288704872131,197.44509622016432,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual,165.9169988039073,158.53916596321704,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,absolute,0.9574741227446566,198.71285347669806,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute,0.3881952004823006,198.71285347669806,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,value,0.2309722900390625,199.54352783550627,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,perceptual,0.78680419921875,198.91956273524826,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,306.3078079223633,179.181601560635,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,0.00016880035400390625,179.181601560635,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,value,0.0001628469657362075,198.9331301205539,$\beta$,beta
