agent,expName,group,model_original,model_fitted,value_fitted,value_original,ll,param,param2,n_param,bic,winning,p(model),p_model
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,absolute-var,371.8464813232422,685.0,114.05449905859314,$\beta_P$,beta_ff,2,240.82121343857807,True,1.0,1.0
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,absolute-var,158.88671875,445.0,114.05449905859314,$\beta_V$,beta_ss,2,240.82121343857807,True,1.0,1.0
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,absolute,459.5537109375,685.0,136.37346829214192,$\beta_P$,beta_ff,2,285.45915190567564,True,3.0373466223443764e-23,3.0373466223443764e-23
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,absolute,155.4755859375,445.0,136.37346829214192,$\beta_V$,beta_ss,2,285.45915190567564,True,3.0373466223443764e-23,3.0373466223443764e-23
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,absolute-var,958.8407876491547,624.0,103.48008154154277,$\beta_P$,beta_ff,2,219.67237840447734,True,0.9999999999263616,0.9999999999263616
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,absolute-var,179.4043161869049,127.0,103.48008154154277,$\beta_V$,beta_ss,2,219.67237840447734,True,0.9999999999263616,0.9999999999263616
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,absolute,680.8026327798143,624.0,111.54308228640971,$\beta_P$,beta_ff,2,235.79837989421122,True,7.363833253323712e-11,7.363833253323712e-11
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,absolute,174.55792854633182,127.0,111.54308228640971,$\beta_V$,beta_ss,2,235.79837989421122,True,7.363833253323712e-11,7.363833253323712e-11
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,absolute-var,981.45703125,560.0,102.00634391343918,$\beta_P$,beta_ff,2,216.72490314827016,True,1.0,1.0
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,absolute-var,738.779296875,489.0,102.00634391343918,$\beta_V$,beta_ss,2,216.72490314827016,True,1.0,1.0
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,absolute,643.0496543358313,560.0,118.70233964158085,$\beta_P$,beta_ff,2,250.1168946045535,True,2.3256646253028802e-18,2.3256646253028802e-18
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,absolute,549.2330269714148,489.0,118.70233964158085,$\beta_V$,beta_ss,2,250.1168946045535,True,2.3256646253028802e-18,2.3256646253028802e-18
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,absolute-var,259.46688234986243,92.0,94.65670389474288,$\beta_P$,beta_ff,2,202.02562311087755,True,0.9999999999999749,0.9999999999999749
