agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,952.5840978103224,185.4759568365411,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,1.0337680578231813e-07,185.4759568365411,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,290.3042945060994,186.14559276782467,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,1.0231815394945445e-12,186.14559276782467,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,999.999950170517,153.10476448078754,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,4.982948303222656e-05,153.10476448078754,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,777.2704022457685,153.8567422994485,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,46.53966360345248,153.8567422994485,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,666.8478374650583,182.9130723792374,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,18.25271386755594,182.9130723792374,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.0006446838378906,194.0840675121849,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.0006446838378906,194.0840675121849,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,304.55901047587395,181.7532617976402,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,5.21540641784668e-06,181.7532617976402,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,1.5234036254696548e-11,204.99529336184304,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.2086057344142773,204.99529336184304,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,811.3180973529816,146.17687419047502,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,2.008676528930664e-05,146.17687419047502,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,999.9999999982828,153.72531261501246,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,226.0039376990608,153.72531261501246,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,0.0791357159614563,138.3848947432338,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,989.0054430216552,138.3848947432338,$\beta_V$,beta_ss
