agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,979.1981894141063,92.49487903725455,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,343.04296146146953,92.49487903725455,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,999.9993553161621,96.45619719790353,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,482.88151931762695,96.45619719790353,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,788910.0205449228,102.00968258665156,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,value,372837.2974814443,117.00968247699275,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,287.0245035290718,73.02357615669432,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,1.9492388367652893,73.02357615669432,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,854.24808086019,78.21171918446578,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,24.55076346889672,78.21171918446578,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,921230.8013290167,79.20968275333301,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,821133.7890625,110.1096825274358,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,4.982948303222656e-05,99.72407067088001,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.0804741382598877,99.72407067088001,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.5234036254696548e-11,99.81319400068335,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.5234036254696548e-11,99.81319400068335,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,288510.1537398732,125.9096824119285,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,1.0477378964424133e-09,99.8131940019006,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,344.38610076904297,110.8477443995882,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,439.5133056640625,110.8477443995882,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.00016880035400390625,99.8141838764914,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.00016880035400390625,99.8141838764914,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,99036.38351161499,153.1096822130805,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,value,540095.3006444684,113.30968250404189,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,901.8206070661545,65.31249465104125,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,118.22167199850082,65.31249465104125,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,962.3683929443359,70.62154423291179,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,432.7595672607422,70.62154423291179,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,743655.3403288126,73.60968279427226,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,value,0.00010337680578231812,99.81282266376593,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,999.999831199646,64.7096828592407,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,831.0512008666992,64.7096828592407,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute,746.0216249441728,64.72908352903525,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,700.0056273040827,64.72908352903525,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,879059.8490022821,99.70968260346682,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,value,701591.8579101562,67.50968283886692,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,472.28108488539226,70.11223493186247,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,1.5234036254696548e-11,70.11223493186247,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,999.9999998966232,76.2179017286054,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,0.4873047908768058,76.2179017286054,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual,916645.5078125,76.60968277234045,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,value,372527.54494547844,109.70968253036003,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,203.12935503135668,106.64718797277844,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,165.10511190613033,106.64718797277844,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute,4.982948303222656e-05,98.56059850240374,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute,0.8879294395446777,98.56059850240374,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,perceptual,184226.5625,128.89642070028532,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,value,0.8826255798339844,98.32378973470416,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,921.8408199756811,70.25233810985102,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,300.25764899403424,70.25233810985102,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,806.0449514389038,76.92089239066443,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,92.029372215271,76.92089239066443,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual,246497.9686141014,76.50968277307159,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value,0.02008676528930664,99.80686256543301,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,1.3556152631695113,94.35664028462283,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,0.658143450135185,94.35664028462283,$\beta_V$,beta_ss
