agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,934.850936114788,91.00968266706806,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,364.1873745918274,91.00968266706806,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,784.220458984375,97.07239624842053,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,345.5244140625,97.07239624842053,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,910.2191772460938,75.90967356239155,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,0.025390625,75.90967356239155,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,558.4734175566709,81.81417605453595,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,1.0231815394945443e-12,81.81417605453595,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,999.9999998966232,121.60968086215192,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,1.0337680578231812e-07,121.60968086215192,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.6239937394857407e-08,99.81319406378367,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.6239937394857407e-08,99.81319406378367,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,461.104678414762,111.70968251573883,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,784.8517983593047,111.70968251573883,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,5.21540641784668e-06,99.71471866161492,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.30241429805755615,99.71471866161492,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,352.8704214969016,66.20968284837062,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,128.90902488721179,66.20968284837062,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,280.83281326293945,72.48663774552793,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,122.4645004272461,72.48663774552793,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,456.90827465057373,65.41019261682291,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,623.3204460144043,65.41019261682291,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute,333.0014424505705,75.02203085789634,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,936.1841574609792,75.02203085789634,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,183.14570702519268,68.70790144661582,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,1.0337680578231812e-07,68.70790144661582,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,999.9974517822266,78.21814726501755,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,0.0025482177734375,78.21814726501755,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,592.6957059626502,106.29642086550464,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,909.7642477408688,106.29642086550464,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute,1.0231815394945443e-12,98.7170092690184,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute,0.5592906046249482,98.7170092690184,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,777.5328290827297,72.9109531466678,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,1.5234036254696548e-11,72.9109531466678,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,521.3292727839871,78.87412971830065,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,1.7171259969472885e-09,78.87412971830065,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,710.5710022225976,98.009599795142,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,1.4975666999816895e-06,98.009599795142,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,absolute,1.4155517170438543,97.87535519282667,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute,0.909333972260356,97.87535519282667,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,474.8054623108011,70.60968282244916,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,82.15106196721274,70.60968282244916,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,965.9599236199986,72.46385113725952,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,157.148035230216,72.46385113725952,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,237.90076912939548,90.8628179861752,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,5.21540641784668e-06,90.8628179861752,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,808.1481191349449,95.76514547264892,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,0.01025512523483485,95.76514547264892,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,225.98700380325317,102.2382977285623,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,552.8441245555878,102.2382977285623,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,5.21540641784668e-06,96.74909371394291,$\beta_P$,beta_ff
