agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,856.5145445353264,93.11523145256166,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,182.2717683918745,93.11523145256166,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,999.9999999999848,95.78697993615583,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,468.0558049984798,95.78697993615583,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,999.9999999837601,75.01728820525116,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,1.6239937394857407e-08,75.01728820525116,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,477.7853196861688,81.25841419132833,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,1.6239937394857407e-08,81.25841419132833,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,1.5234036254696548e-11,99.64502074242266,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.08930237485139969,99.64502074242266,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.6239937394857407e-08,99.81319405649921,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.6239937394857407e-08,99.81319405649921,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,1.5234036254696548e-11,99.61252374863462,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,0.09011734561545381,99.61252374863462,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,1.0231815394945443e-12,99.73703576218297,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.2321712713156785,99.73703576218297,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,917.1556549072266,65.84593795565584,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,168.04652404785156,65.84593795565584,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,908.504942580359,76.79683542843956,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,299.4373202896677,76.79683542843956,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,17.0810546875,65.10968285641235,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,690.5361328125,65.10968285641235,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute,142.89289039140567,76.0344519625814,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,751.2245715381578,76.0344519625814,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,593.2622175216675,72.41239751706527,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,1.4975666999816895e-06,72.41239751706527,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,746.5152587890625,78.70666156288353,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,0.025390625,78.70666156288353,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,3.5561242839321494e-10,97.15312024173627,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,0.32858906238834606,97.15312024173627,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute,0.000644683837890625,98.87686829533553,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute,0.6573638916015625,98.87686829533553,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,883.9834690214061,73.51642373112159,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,500.38650061229094,73.51642373112159,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,255.99643901013542,78.51767519536804,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,0.0773715373929349,78.51767519536804,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,2.0082656062409114,96.91920250029484,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,1.5234036254696548e-11,96.91920250029484,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,absolute,1.4986777915619314,98.02759692715023,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute,0.9518013740307651,98.02759692715023,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,999.9999999982829,73.06158157608814,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,0.060913087654626,73.06158157608814,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,783.1130879240975,75.14806901993674,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,124.61549240597947,75.14806901993674,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,999.9999999982829,93.01120667861726,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,1.7171259969472885e-09,93.01120667861726,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,367.86953898843444,97.41240197884125,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,0.01137798272065993,97.41240197884125,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.1255336966678442,95.06086917120079,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.4512925572998938,95.06086917120079,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,0.025390625,97.04020500933927,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,0.025390625,97.04020500933927,$\beta_V$,beta_ss
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,308.64154052734375,69.19363538320263,$\beta_P$,beta_ff
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,0.025390625,69.19363538320263,$\beta_V$,beta_ss
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,588.1269588470459,75.02509103855465,$\beta_P$,beta_ff
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,2.008676528930664e-05,75.02509103855465,$\beta_V$,beta_ss
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,999.999999999999,78.98384467092328,$\beta_P$,beta_ff
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,355.1250832612295,78.98384467092328,$\beta_V$,beta_ss
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,614.6317687929841,85.6388188233953,$\beta_P$,beta_ff
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,266.5166563882376,85.6388188233953,$\beta_V$,beta_ss
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,0.1439897119998932,99.6390051018515,$\beta_P$,beta_ff
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,5.21540641784668e-06,99.6390051018515,$\beta_V$,beta_ss
64db80772c860983ea3a7310,FullPilot12,random,absolute,1.5234036254696548e-11,99.81319400067466,$\beta_P$,beta_ff
64db80772c860983ea3a7310,FullPilot12,random,absolute,1.5234036254696548e-11,99.81319400067466,$\beta_V$,beta_ss
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute-var,999.9999999996444,84.5607716087713,$\beta_P$,beta_ff
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute-var,3.5561242839321494e-10,84.5607716087713,$\beta_V$,beta_ss
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute,999.9999999837601,90.41261891839969,$\beta_P$,beta_ff
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute,41.78445014083991,90.41261891839969,$\beta_V$,beta_ss
66b104dedef80475efe58141,FullPilot12,perceptual,absolute-var,999.999831199646,78.6248552840212,$\beta_P$,beta_ff
