agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,value,1.5234036254696548e-11,198.9332408206996,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,798.9149019385986,187.0913712335541,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,26.188127570028882,183.12332204864944,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.98451153782662,183.12332204864944,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,independent,999.974609375,186.32991550879288,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,independent,111.40496826171875,186.32991550879288,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,single,5.796968720853329,186.1613914686886,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,1.367370031934115,202.45773420196676,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,946.3398044109344,164.5533464192919,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,999.9999999837601,139.8855918897237,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,75.28029687149683,139.8855918897237,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,independent,999.998712505096,153.84850359605048,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,independent,113.82496612967674,153.84850359605048,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,single,999.999950170517,162.0194247131813,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,4.742378719289491,206.1907609058906,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,1.7171259969472885e-09,194.08121056659644,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,1.6239937394857407e-08,194.08021005646586,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,0.017016626719851047,194.08021005646586,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,independent,0.025390625,194.19420402446548,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,independent,0.025390625,194.19420402446548,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,single,4.982948303222656e-05,194.08127942034295,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,value,0.047330349695016594,205.1841062209058,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,1.6239937394857407e-08,205.1715656766531,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,1.4975666999816895e-06,204.7151499517515,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,0.32285869866609573,204.7151499517515,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,independent,4.982948303222656e-05,205.07600950253163,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,independent,0.23489832878112793,205.07600950253163,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,single,2.008676528930664e-05,205.17166887356805,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,value,88.71484375,230.60138930955344,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,621.0760647512657,161.8946273074067,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,394.9993173368526,149.8633888629706,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,95.4785845908118,149.8633888629706,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,independent,800.0276947766542,154.6109105506427,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,independent,351.3141166269779,154.6109105506427,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,single,18.818899378180504,153.88310717280788,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,value,116.4912109375,216.08443106813533,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,47.398736066854326,195.20363719144515,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,1.6239937394857407e-08,153.45582492236676,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,179.7004686971777,153.45582492236676,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,independent,0.02538909621171115,139.90055106650559,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,independent,350.6428707753968,139.90055106650559,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,single,9.789686918258667,171.3271567609067,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,value,735.5375063789761,228.65386869974137,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual,772.8996757435066,178.83952719151222,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,856.0293731689453,156.2585595601958,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,113.52931213378906,156.2585595601958,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,independent,999.9999799132347,159.28590100140931,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,independent,233.25582659244537,159.28590100140931,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,single,12.812320351600647,169.40579371670543,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,value,126.5418701171875,229.51183859728036,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual,1.0337680578231812e-07,198.93324112106976,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,log-ratio,5.21540641784668e-06,188.01222630037128,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,log-ratio,2.304597392678261,188.01222630037128,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,independent,0.000149185676889374,186.6114101327863,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,independent,448.14174533699736,186.6114101327863,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,single,6.11669921875,191.47108984298575,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value,0.2747535705566406,199.75925413278313,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual,999.9999947845936,166.51586221101707,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,log-ratio,719.1896731611341,134.29467424582606,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,log-ratio,46.17129481304437,134.29467424582606,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,independent,394.81277068704367,155.2245615195407,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,independent,126.77638006070629,155.2245615195407,$\beta_V$,beta_ss
