agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,value,0.3956631478977215,198.5688188921634,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,915.9972355365752,186.81482834699648,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,1.6624298095703125,195.40107802168924,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,526.332519502379,166.55852598856922,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,0.3832550048828125,194.0233527125828,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,1.0337680578231813e-07,194.0812111449502,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,value,0.2214546203613281,205.07535666681216,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,1.0231815394945445e-12,205.1715654457593,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,value,2.83240403182208,190.39955334373624,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,872.4323282516152,162.38788032108002,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,value,211.515625,139.99346040151133,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,801.2456665039062,195.56051695140096,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,value,877.4684225981127,191.25096486238152,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual,333.3448551731515,180.6037535359455,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,value,506.80083115067214,187.7406074208382,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual,1.0337680578231813e-07,198.93324113508007,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value,1.3562838332727551,196.94930150917412,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual,873.5536634922028,166.6013995698865,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,value,0.1506787753379512,199.5408311832834,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,perceptual,0.6511851056702653,198.59068177472145,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,value,0.29949951171875,198.7574028389438,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,perceptual,834.2084498405457,180.3949577950404,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,value,0.497467041015625,232.3602852182686,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,perceptual,726.3440168936773,179.8564405096025,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,value,0.7239875793457031,194.64280886712956,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,perceptual,1.0337680578231813e-07,195.4675050368567,$\beta$,beta
6167175ed1680ecefc063aed,FullPilot12,perceptual,value,875.9477020527922,186.8538733886592,$\beta$,beta
