agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,232.1662429174405,184.84132549796712,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,0.0247086215656509,184.84132549796712,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,999.9999999982829,186.97829575464715,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,1.7171259969472885e-09,186.97829575464715,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,143201.59912109375,184.09522560902403,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,value,678862.7109527588,217.54060718395468,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,870.7125341808364,148.4980073494702,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,63.69107912386744,148.4980073494702,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,910.2610549926758,156.1801188640191,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,61.47908020019531,156.1801188640191,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,1883.23974609375,159.94174032895788,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,0.7239646736998111,195.22877094222125,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.05320006608963013,193.37310708877962,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.17898201942443848,193.37310708877962,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,1.4975666999816895e-06,194.0148773052616,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.14208803698420525,194.0148773052616,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,640773.1683878228,223.9426226203447,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,544250.6429105997,215.24834789295943,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,1.6239937394857407e-08,204.60298497670223,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,0.22709376993589103,204.60298497670223,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,5.21540641784668e-06,204.9613008062256,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.3638850599527359,204.9613008062256,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,302535.0036621094,261.733549835012,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,value,0.22303831053432077,204.4646859985442,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,857.5859185070483,145.36911626658542,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,216.95293652264036,145.36911626658542,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,672.6733703613281,152.40769478139106,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,175.80532836914062,152.40769478139106,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,258784.1796875,156.3883731201297,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,value,393694.03734333336,196.65386902645744,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,418.11879624426365,137.6605803438236,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,354.8365392535925,137.6605803438236,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute,4.982948303222656e-05,139.45603728548156,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,270.387170791626,139.45603728548156,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,999999.3553161621,189.0883728810736,$\beta$,beta
