agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,431.6491789954307,186.57025485764203,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,0.001041831899783574,186.57025485764203,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value,0.3432807922363281,198.72733091605477,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,21.304759348033656,186.05878124799838,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,273.0204671611703,183.46963600021496,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,1.5234036254696548e-11,183.46963600021496,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value-var,0.2309722900390625,198.3190581493289,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual-var,23.43701649988867,182.47366561342818,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,999.9999999982829,160.03762883558744,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,55.678860622341745,160.03762883558744,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,1.6556759815757687,196.06447030601356,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,382.77276611328125,167.67062064619833,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,999.9999999999848,152.0259118774492,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,68.7699515099655,152.0259118774492,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value-var,0.8401031494140625,195.81188031412518,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual-var,917.4373779296875,164.93261939536453,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,5.21540641784668e-06,194.08123128214893,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,5.21540641784668e-06,194.08123128214893,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,0.08710676431655884,194.11002650609308,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,1.0231815394945443e-12,194.08121055678862,$\beta$,beta
