agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,222.37564301490784,182.47918687388628,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,5.21540641784668e-06,182.47918687388628,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,334.94457244873047,186.60833900684665,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,0.000644683837890625,186.60833900684665,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value,0.33391183614730835,198.63523362885198,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,478.72683285200037,186.32267844717163,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual-var,576.9950923919678,181.9681321509309,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,795.4441498066299,151.26520449272365,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,155.02277281088755,151.26520449272365,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,775.745401408356,158.87370720460993,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,76.61529693840566,158.87370720460993,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,1.834223747253418,196.29820823419973,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,650.0517730712891,167.79984046646902,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual-var,57.575051464424746,161.11887669343625,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,1.0231815394945443e-12,194.08121055673644,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,1.0231815394945443e-12,194.08121055673644,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.00016880035400390625,194.1265198782127,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.17910099029541016,194.1265198782127,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,1.5234036254696548e-11,194.0812105567864,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,1.0231815394945443e-12,194.08121055678853,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual-var,1.0231815394945443e-12,194.08121055678816,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,1.0337680578231812e-07,204.9566185291165,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,0.3106562839820981,204.9566185291165,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.00016880035400390625,204.9820504052209,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute,0.33614253997802734,204.9820504052209,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,value,0.4118080139160156,204.98903341608911,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual,1.0337680578231812e-07,205.17156658577952,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual-var,1.6239937394857407e-08,205.17156569336657,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,703.8760986328125,151.3953007442756,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,201.29364776611328,151.3953007442756,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,119.0029239654541,155.6393532926331,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,30.84883975982666,155.6393532926331,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,value,2.164214904581968,191.65696411743352,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual,288.93111098528607,162.92680727982383,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual-var,791.8850644297781,156.2410739509268,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,115.66888427734375,140.50413887181676,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,597.4000244140625,140.50413887181676,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,absolute,808.0217714309692,150.25814719207423,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute,829.3670492172241,150.25814719207423,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,value,538.9655776023865,141.64869476835912,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual,724.9520263671875,198.06386102723712,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual-var,876.8701725784922,191.18685315497288,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,558.2647559531227,149.65764395652823,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,96.19170163668389,149.65764395652823,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,975.4342498779297,157.67455320117023,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,97.98124694824219,157.67455320117023,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,value,186.87172622280195,190.87655748730145,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual,898.6501077115536,176.18669664641385,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual-var,317.748046875,169.82897652318343,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,202.93596637379028,183.97323318932325,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,568.2074067721901,183.97323318932325,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,absolute,744.2293892845189,188.39132730467153,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute,999.9961929321137,188.39132730467153,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,value,211.20131000038236,188.5366436996318,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual,1.7171259969472885e-09,198.93324082299458,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual-var,0.05261160582796265,198.8288848273325,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,254.8595574244476,146.6154278022605,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,77.92026895917246,146.6154278022605,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,822.0159878134727,153.1443846414324,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,129.2898890376091,153.1443846414324,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value,1.1441926956176758,197.46974134662057,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual,197.12490844726562,158.97669338942057,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual-var,551.2975271955947,154.20005938428352,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,0.7257700478351126,196.9326439690452,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,1.5234036254696548e-11,196.9326439690452,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,absolute,1.4873046875,199.08602219536516,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute,0.0025482177734375,199.08602219536516,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,value,0.23858642578125,199.54613177268283,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,perceptual,1.1677310414124804,198.91981531732836,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,perceptual-var,0.8458610544000749,197.1870841332863,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,773.2698669582605,173.55014102344427,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,5.21540641784668e-06,173.55014102344427,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,509.35015869140625,179.83094135600234,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,0.025390625,179.83094135600234,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,value,0.23668289184570312,198.85925314097548,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,perceptual,828.4662017822266,179.67972681262512,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,perceptual-var,588.3928736150265,174.11975656848395,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,115.61595485641124,172.13990121889861,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,1.0231815394945443e-12,172.13990121889861,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,299.32183837890625,177.92237958371518,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,0.025390625,177.92237958371518,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,value,0.3331310898065567,232.50293295863577,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,perceptual,258.7841796875,178.3503891955757,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,perceptual-var,517.0571032388377,171.7320786769886,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.0839242935180664,194.6249078274221,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.8401031494140625,194.6249078274221,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,1.0337680578231812e-07,194.6777671169153,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,0.7721814708784223,194.6777671169153,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,value,0.7447570013384848,194.60803661006884,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,perceptual,1.6239937394857407e-08,195.4675049475069,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,perceptual-var,0.0025482177734375,195.4432804371373,$\beta$,beta
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,999.9999998966232,131.35732968103815,$\beta_P$,beta_ff
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,230.23563392087817,131.35732968103815,$\beta_V$,beta_ss
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,305.87124031310805,144.6199857967559,$\beta_P$,beta_ff
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,35.05777630134696,144.6199857967559,$\beta_V$,beta_ss
6167175ed1680ecefc063aed,FullPilot12,perceptual,value,764.9127953052521,186.6523928839868,$\beta$,beta
6167175ed1680ecefc063aed,FullPilot12,perceptual,perceptual,259.149658203125,160.39861576495025,$\beta$,beta
6167175ed1680ecefc063aed,FullPilot12,perceptual,perceptual-var,24.376705408096313,153.20408643732887,$\beta$,beta
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,810.358240365982,162.60246409483779,$\beta_P$,beta_ff
