agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,678168.4274821636,184.3061034305739,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,126814.84616107994,184.3061034305739,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,879230.5267166812,188.4061035976375,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute,77753.3043124713,188.4061035976375,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value,0.5157575797056779,198.71814054289672,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual,251843.4190750122,186.69522571294152,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual-var,865656.2771601602,182.89522574072163,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,999970.8731219457,152.0193655534542,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,170687.27625372796,152.0193655534542,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,557255.4113226943,158.0898123660714,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute,476.3604002073407,158.0898123660714,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value,276814.453125,202.45386898405596,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual,278680.1036680117,165.58837305287253,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual-var,817783.5693359375,161.9883730791906,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.0014975666999816895,221.8469316005318,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,603309.528786689,221.8469316005318,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,0.16880035400390625,221.0314181213239,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute,255461.56120300293,221.0314181213239,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,value,451100.50129378214,223.14834783520593,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual,1.525040715932846e-08,194.08121061114872,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual-var,921127.6164054871,227.34262259548868,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,197974.80660676956,240.22545842708277,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,999999.9947845936,240.22545842708277,$\beta_V$,beta_ss
