agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,independent,79.88256755553375,187.16959992648535,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,independent,54.64740463291637,187.16959992648535,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,single,5.793470001220697,186.1613921416523,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,26.08886777311563,183.12336814074538,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.9774562746286364,183.12336814074538,$\beta_V$,beta_ss
,,,,,,,
,,,,,,,
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,independent,62.077851438522345,156.14356797681742,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,independent,11.71774349212646,156.14356797681742,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,single,26.97461483031511,161.98790907065248,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,99.99999799132348,140.56510312405942,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,6.55623686909675,140.56510312405942,$\beta_V$,beta_ss
,,,,,,,
,,,,,,,
636590165e6fcc3e84ee2b6d,FullPilot12,random,independent,9.947598300641403e-14,193.9266581942854,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,independent,0.3119158427639732,193.9266581942854,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,single,5.215406346792406e-07,194.08121127753387,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,1.4975666573491253e-07,194.08021599051554,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,0.017975533008566913,194.08021599051554,$\beta_V$,beta_ss
,,,,,,,
,,,,,,,
660d619f39d061875f78ac8c,FullPilot12,random,independent,4.982948297538314e-06,205.0664830556911,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,independent,0.2765051841735797,205.0664830556911,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,single,1.688003539612737e-05,205.17165236191917,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,2.0086765246674076e-06,204.71516027154155,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,0.32296330928802064,204.71516027154155,$\beta_V$,beta_ss
,,,,,,,
,,,,,,,
667ad18688c9319e6559bdc4,FullPilot12,combined,independent,81.75761740103246,158.13279709561638,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,independent,38.182682560410605,158.13279709561638,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,single,18.819293980300422,153.88310717337484,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,31.178612653911113,147.5283930417369,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,2.996422952506684,147.5283930417369,$\beta_V$,beta_ss
,,,,,,,
,,,,,,,
669ede47eb98d478aff45414,FullPilot12,combined,independent,0.00043297745149573075,139.96284773406384,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,independent,36.446655112308534,139.96284773406384,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,single,9.80172356367111,171.32715783152798,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,5.215406346792406e-07,153.46446875839044,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,99.96337429583073,153.46446875839044,$\beta_V$,beta_ss
