agent,expName,group,model,value,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,99.99999999982829,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.9616784890065873,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.2574192643101269,$\lambda$,leak
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,99.99999998966233,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,3.8611563613638253,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,0.16006088549550623,$\lambda$,leak
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,99.99402639716864,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,5.215406346792406e-07,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,0.9999999947845936,$\lambda$,leak
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,99.99966060463049,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,99.99450427899137,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,0.9999999999982829,$\lambda$,leak
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,99.99036135077478,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,2.971070864051576,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,1.4975666817740318e-09,$\lambda$,leak
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,1.4975666573491253e-07,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,99.99999985024334,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,0.8826062723174691,$\lambda$,leak
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,36.659934983076525,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,5.186782564199525,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,0.0094801613094751,$\lambda$,leak
5a9353586219a30001d2f2af,FullPilot12,random,log-ratio,1.0420288887758034e-05,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,log-ratio,2.5354582822299534,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,log-ratio,4.504013404948992e-05,$\lambda$,leak
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,log-ratio,99.99999947845936,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,log-ratio,5.797082254290572,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,log-ratio,0.04512030288577079,$\lambda$,leak
