agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,single,5.989058113098139,199.4595321383665,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,single,7.522116756439203,199.4595321383665,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,single,0.2098919105529785,199.4595321383665,$\lambda$,leak
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,99.99999985024334,197.89704939710919,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.9618549179285694,197.89704939710919,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,log-ratio,0.2574138174280524,197.89704939710919,$\lambda$,leak
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,single,15.0166059567593,182.76560284267964,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,single,2.0794742043130015,182.76560284267964,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,single,0.1544398236759007,182.76560284267964,$\lambda$,leak
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,99.9999950170517,163.43018368823746,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,5.226026535034173,163.43018368823746,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,log-ratio,4.982948303977608e-08,163.43018368823746,$\lambda$,leak
636590165e6fcc3e84ee2b6d,FullPilot12,random,single,1.688003539612737e-05,213.4893316835194,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,single,26.846936035156247,213.4893316835194,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,single,0.9998932332992554,213.4893316835194,$\lambda$,leak
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,99.99999799132348,213.0829653085773,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,0.0007307052612262055,213.0829653085773,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,log-ratio,0.9999999799132346,213.0829653085773,$\lambda$,leak
660d619f39d061875f78ac8c,FullPilot12,random,single,99.997880231397,222.96211866628195,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,single,19.58683053736458,222.96211866628195,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,single,0.9999999999837601,222.96211866628195,$\lambda$,leak
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,99.99924275865779,220.476805209029,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,99.99999998966233,220.476805209029,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,log-ratio,0.9999999998966231,220.476805209029,$\lambda$,leak
667ad18688c9319e6559bdc4,FullPilot12,combined,single,16.0748411652632,169.07641519328453,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,single,66.06998667865992,169.07641519328453,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,single,0.1583392728930339,169.07641519328453,$\lambda$,leak
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,99.99999999982829,163.34909021821034,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,2.967573581544272,163.34909021821034,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,log-ratio,1.7171264410364984e-12,163.34909021821034,$\lambda$,leak
669ede47eb98d478aff45414,FullPilot12,combined,single,8.979414749145505,187.58710033975416,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,single,59.140627193450925,187.58710033975416,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,single,0.3445169687271118,187.58710033975416,$\lambda$,leak
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,1.4975666573491253e-07,166.47798236186705,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,99.99999985024334,166.47798236186705,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,log-ratio,0.8814794806092978,166.47798236186705,$\lambda$,leak
60d7922fc3809c404939251c,FullPilot12,perceptual,single,11.613002318650246,186.41712016225583,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,single,0.4922620333672896,186.41712016225583,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,single,0.004851657462248138,186.41712016225583,$\lambda$,leak
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,36.582978159810224,171.21042776769528,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,5.169791751678709,171.21042776769528,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,log-ratio,0.009530789707081544,171.21042776769528,$\lambda$,leak
5a9353586219a30001d2f2af,FullPilot12,random,single,6.278966331481925,209.19505782243104,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,single,26.924497607350347,209.19505782243104,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,single,5.21540644005114e-09,209.19505782243104,$\lambda$,leak
