agent,expName,group,model,value,ll,param,param2
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,531.3071918414207,182.91497254620438,$\beta_P$,beta_ff
610a1655e385fd7341e12778,FullPilot12,perceptual,absolute-var,51.08838217169978,182.91497254620438,$\beta_V$,beta_ss
610a1655e385fd7341e12778,FullPilot12,perceptual,value-var,0.21267976064882532,198.40323106335353,$\beta$,beta
610a1655e385fd7341e12778,FullPilot12,perceptual,perceptual-var,331.4064977169037,183.34212398234087,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,885.6798630205664,152.63466393664865,$\beta_P$,beta_ff
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,absolute-var,66.27338277645924,152.63466393664865,$\beta_V$,beta_ss
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,value-var,0.7182769775390625,195.64420940079725,$\beta$,beta
66f6c4195f17d26ce8c8018d,FullPilot12,perceptual,perceptual-var,156.44861894845963,162.86818313688616,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.025390625,194.07109414605102,$\beta_P$,beta_ff
636590165e6fcc3e84ee2b6d,FullPilot12,random,absolute-var,0.025390625,194.07109414605102,$\beta_V$,beta_ss
636590165e6fcc3e84ee2b6d,FullPilot12,random,value-var,0.19616176464478485,193.771660332779,$\beta$,beta
636590165e6fcc3e84ee2b6d,FullPilot12,random,perceptual-var,5.21540641784668e-06,194.08122300106376,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,5.21540641784668e-06,204.5573071756018,$\beta_P$,beta_ff
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,0.23329965770244598,204.5573071756018,$\beta_V$,beta_ss
660d619f39d061875f78ac8c,FullPilot12,random,value-var,0.2081298828125,204.57721737870935,$\beta$,beta
660d619f39d061875f78ac8c,FullPilot12,random,perceptual-var,3.5561242839321494e-10,205.17156545090197,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,999.9999947845936,148.7330573220717,$\beta_P$,beta_ff
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,334.49068370461464,148.7330573220717,$\beta_V$,beta_ss
667ad18688c9319e6559bdc4,FullPilot12,combined,value-var,1.057411836563972,189.81108813651733,$\beta$,beta
667ad18688c9319e6559bdc4,FullPilot12,combined,perceptual-var,69.32164001464844,159.19906621147624,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,0.025390625,139.8322937049908,$\beta_P$,beta_ff
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,212.368408203125,139.8322937049908,$\beta_V$,beta_ss
669ede47eb98d478aff45414,FullPilot12,combined,value-var,541.5909691564739,139.75386944242936,$\beta$,beta
669ede47eb98d478aff45414,FullPilot12,combined,perceptual-var,449.442138671875,191.80082988113722,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,811.7012474578805,152.43961312003384,$\beta_P$,beta_ff
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,86.72325429110788,152.43961312003384,$\beta_V$,beta_ss
60d7922fc3809c404939251c,FullPilot12,perceptual,value-var,287.13160705566406,190.4538690717829,$\beta$,beta
60d7922fc3809c404939251c,FullPilot12,perceptual,perceptual-var,861.1646318435669,170.4850925135935,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,891.2560807689845,182.75520522499406,$\beta_P$,beta_ff
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,908.9675977632119,182.75520522499406,$\beta_V$,beta_ss
5a9353586219a30001d2f2af,FullPilot12,random,value-var,292.88693221853646,186.4406101091754,$\beta$,beta
5a9353586219a30001d2f2af,FullPilot12,random,perceptual-var,0.025390625,198.65573117725788,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,861.5185998039815,147.39657899536692,$\beta_P$,beta_ff
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,111.10788309649797,147.39657899536692,$\beta_V$,beta_ss
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,value-var,0.5736083984375,196.7507228988894,$\beta$,beta
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,perceptual-var,111.62577819824219,153.8725367547451,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,0.8726714253425598,196.4639396741556,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,0.12140755355358124,196.4639396741556,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,value-var,0.11580848693847656,199.32960064319514,$\beta$,beta
6165e6f471254e3af05c5057,FullPilot12,random,perceptual-var,0.649749755859375,196.39816316587095,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,256.8371842056513,173.9374193100055,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,5.21540641784668e-06,173.9374193100055,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,value-var,0.147216796875,198.73509212029424,$\beta$,beta
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,perceptual-var,732.0592642752893,174.502130034668,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,350.581017373941,173.36858794757148,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,1.5234036254696548e-11,173.36858794757148,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,value-var,0.1814416528090419,232.22928179757454,$\beta$,beta
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,perceptual-var,50.67462158203125,173.40100401199828,$\beta$,beta
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.14422841618943494,194.19359701837527,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,0.3547256172023481,194.19359701837527,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,value-var,0.3332906568212479,194.35529581863548,$\beta$,beta
