agent,model,x,ll,group,ntrials,exp,prolificID,omega,beta
610a1655e385fd7341e12778,map,[0.82019565 1.11302376],105.65844322453496,perceptual,315,FullPilot12,610a1655e385fd7341e12778,0.8201956462860107,1.1130237579345703
66f6c4195f17d26ce8c8018d,map,[0.84117683 1.90736312],90.94445498639585,perceptual,316,FullPilot12,66f6c4195f17d26ce8c8018d,0.8411768252402544,1.907363124191761
636590165e6fcc3e84ee2b6d,map,[0.30129639 0.        ],119.22131502191034,random,308,FullPilot12,636590165e6fcc3e84ee2b6d,0.30129638671875003,0.0
660d619f39d061875f78ac8c,map,[0.33383545 0.        ],118.5281678415504,random,323,FullPilot12,660d619f39d061875f78ac8c,0.33383544921874997,0.0
667ad18688c9319e6559bdc4,map,[0.56931639 3.66002798],70.48172982947857,combined,316,FullPilot12,667ad18688c9319e6559bdc4,0.5693163864314557,3.6600279808044434
669ede47eb98d478aff45414,map,[0.26536754 4.27655168],63.78389886864102,combined,316,FullPilot12,669ede47eb98d478aff45414,0.26536754343658686,4.276551678776741
60d7922fc3809c404939251c,map,[0.83722995 2.89207548],83.34992654675348,perceptual,316,FullPilot12,60d7922fc3809c404939251c,0.8372299475222826,2.892075479030609
5a9353586219a30001d2f2af,map,[4.76837159e-09 4.23017740e-01],116.76651105394237,random,315,FullPilot12,5a9353586219a30001d2f2af,4.768371586472142e-09,0.4230177402496338
5d5b67ab9ad5a300181398dc,map,[0.79854681 3.21327733],67.29475779124648,perceptual,316,FullPilot12,5d5b67ab9ad5a300181398dc,0.7985468136891722,3.213277328759432
6165e6f471254e3af05c5057,map,[0.59426512 0.78289032],116.11375354813373,random,316,FullPilot12,6165e6f471254e3af05c5057,0.594265124797821,0.7828903198242188
66f7102d3196ce5e60b2c1bd,map,[0.99998901 2.18505859],84.68631217159461,perceptual,315,FullPilot12,66f7102d3196ce5e60b2c1bd,0.999989013671875,2.18505859375
66eeda2bc7d6e9b92b4a81c0,map,[0.95555205 4.65017915],75.49975965482795,perceptual,372,FullPilot12,66eeda2bc7d6e9b92b4a81c0,0.9555520518124103,4.650179147720337
63626fe174f7db263a4aa8f2,map,[1.09863281e-05 3.47900391e-01],113.8379780468618,random,308,FullPilot12,63626fe174f7db263a4aa8f2,1.0986328125017764e-05,0.347900390625
