agent,model,x,ll,group,ntrials,exp,prolificID,omega,beta
610a1655e385fd7341e12778,map,[  0.99953686 306.64124489],87.109683002624,perceptual,287,FullPilot12,610a1655e385fd7341e12778,0.9995368599891662,306.64124488830566
66f6c4195f17d26ce8c8018d,map,[  0.99999466 311.33789062],66.10968300262405,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d,0.999994659423828,311.337890625
636590165e6fcc3e84ee2b6d,map,[0.01506348 0.        ],99.81319400063235,random,280,FullPilot12,636590165e6fcc3e84ee2b6d,0.015063476562500067,0.0
660d619f39d061875f78ac8c,map,[1.92382813e-02 8.94140625e+01],116.1096830026239,random,296,FullPilot12,660d619f39d061875f78ac8c,0.019238281250000044,89.4140625
667ad18688c9319e6559bdc4,map,[  0.99998779 393.27148438],63.109683002623946,combined,288,FullPilot12,667ad18688c9319e6559bdc4,0.99998779296875,393.271484375
669ede47eb98d478aff45414,map,[0.19111734 9.79439396],66.09382371488498,combined,288,FullPilot12,669ede47eb98d478aff45414,0.19111734178150075,9.794393964111805
60d7922fc3809c404939251c,map,[  0.86666693 381.56145802],65.16603963887903,perceptual,288,FullPilot12,60d7922fc3809c404939251c,0.8666669329422803,381.5614580183319
5a9353586219a30001d2f2af,map,[2.98023228e-09 3.13629508e-01],98.50555248291242,random,287,FullPilot12,5a9353586219a30001d2f2af,2.9802322831784522e-09,0.31362950801849365
5d5b67ab9ad5a300181398dc,map,[  0.99669189 319.76806641],60.109683002624045,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc,0.99669189453125,319.76806640625
6165e6f471254e3af05c5057,map,[0.57731725 0.88905692],97.91724464670386,random,288,FullPilot12,6165e6f471254e3af05c5057,0.5773172497749328,0.889056921005249
66f7102d3196ce5e60b2c1bd,map,[  0.99979982 293.41902256],71.10968300262412,perceptual,287,FullPilot12,66f7102d3196ce5e60b2c1bd,0.9997998237609863,293.41902256011963
66eeda2bc7d6e9b92b4a81c0,map,[  0.99998779 310.20019531],73.45950569101682,perceptual,336,FullPilot12,66eeda2bc7d6e9b92b4a81c0,0.99998779296875,310.2001953125
63626fe174f7db263a4aa8f2,map,[1.22070313e-05 9.26904297e+01],105.85663625255104,random,282,FullPilot12,63626fe174f7db263a4aa8f2,1.2207031250044409e-05,92.6904296875
6167175ed1680ecefc063aed,map,[ 0.93984377 70.09031115],58.00079112035316,perceptual,288,FullPilot12,6167175ed1680ecefc063aed,0.9398437715601176,70.09031115099788
66bb5ad727c62d0960db333c,map,[  1.         208.31099838],76.1096830027374,perceptual,288,FullPilot12,66bb5ad727c62d0960db333c,0.9999999970197677,208.31099838018417
64db80772c860983ea3a7310,map,[0.712146 0.      ],99.81319400063235,random,287,FullPilot12,64db80772c860983ea3a7310,0.71214599609375,0.0
657b6239aa8091bfa2b24ae0,map,[  0.99999981 327.73406982],82.10968300262391,perceptual,288,FullPilot12,657b6239aa8091bfa2b24ae0,0.9999998092651367,327.73406982421875
66b104dedef80475efe58141,map,[  0.87258264 256.88630738],77.12344930361857,perceptual,288,FullPilot12,66b104dedef80475efe58141,0.8725826416230575,256.8863073835746
60da2baf34bde948982f84db,map,[ 0.76317742 33.52274418],89.72606061834661,perceptual,287,FullPilot12,60da2baf34bde948982f84db,0.7631774164736271,33.52274417877197
663a623d4ea504f754d08b02,map,[  0.99814758 316.54724121],63.10968300262396,perceptual,288,FullPilot12,663a623d4ea504f754d08b02,0.9981475830078125,316.5472412109375
5ac560359534ba0001c74715,map,[0.77365187 8.33235276],74.31886227228229,combined,288,FullPilot12,5ac560359534ba0001c74715,0.7736518656485714,8.332352763973176
665c4e3dc160ab38d079635a,map,[0.42467705 0.43706298],99.14549055257322,random,287,FullPilot12,665c4e3dc160ab38d079635a,0.42467705309391024,0.43706297874450684
663eea8e72f4269ddd149eba,map,[1.        1.4702531],95.29605450331483,perceptual,300,FullPilot12,663eea8e72f4269ddd149eba,0.9999999986961483,1.4702530950307846
5d44afdcad6d110019b0a960,map,[  0.99985799 200.78813046],67.1096830034986,perceptual,288,FullPilot12,5d44afdcad6d110019b0a960,0.9998579874634742,200.78813046216965
66acee53fddf185342f15a88,map,[  0.86757701 178.86950003],61.13178089384721,combined,288,FullPilot12,66acee53fddf185342f15a88,0.8675770097861686,178.8695000302414
660c9c26e4220931438f3d30,map,[ 0.8036141  21.82034433],57.79114694723394,combined,288,FullPilot12,660c9c26e4220931438f3d30,0.8036140978336335,21.82034432888031
669f45c902420af78b04a9b1,map,[1.22070313e-05 8.58593750e+01],74.10968300262397,value,287,FullPilot12,669f45c902420af78b04a9b1,1.2207031250044409e-05,85.859375
62b4ef82055cec7135502ada,map,[1.22070313e-05 8.04199219e+01],120.48315962758745,random,285,FullPilot12,62b4ef82055cec7135502ada,1.2207031250044409e-05,80.419921875
58c42d725866f200017c5deb,map,[  0.99998779 326.42089844],61.109683002624,perceptual,287,FullPilot12,58c42d725866f200017c5deb,0.99998779296875,326.4208984375
5e2b3e22a8f85318c2429121,map,[ 0.60264188 72.43122637],97.06363578220503,random,288,FullPilot12,5e2b3e22a8f85318c2429121,0.6026418760418892,72.43122637271881
