"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"0","0","6","2","5","5","0","1","1347","1698","2","2","1","2","0.22","0.37","0","0",,,"0","0","2024-02-07 15:38:14"
"6543f7e306c0fc611aafc81d",,"0","1","1","1","5","5","1","1","1048","1315","1","0","1","4","0.12","0.71","0","0",,,"0","0","2024-02-07 15:38:17"
"6543f7e306c0fc611aafc81d",,"0","2","8","2","5","5","0","1","498","848","0","1","1","4","0.29","0.71","0","0",,,"1","5","2024-02-07 15:38:19"
"6543f7e306c0fc611aafc81d",,"0","3","6","2","5","5","0","1","649","932","0","1","1","2","0.22","0.37","0","0",,,"1","10","2024-02-07 15:38:21"
"6543f7e306c0fc611aafc81d",,"0","4","5","2","5","5","1","0","632","932","1","0","1","3","0.16","0.63","0","0",,,"1","15","2024-02-07 15:38:24"
"6543f7e306c0fc611aafc81d",,"0","5","6","2","5","5","1","0","632","1132","1","0","1","2","0.22","0.37","0","0",,,"1","20","2024-02-07 15:38:26"
"6543f7e306c0fc611aafc81d",,"0","6","12","2","5","5","1","0","682","982","1","0","3","4","0.55","0.88","0","0",,,"1","25","2024-02-07 15:38:29"
"6543f7e306c0fc611aafc81d",,"0","7","15","2","5","5","1","0","715","1015","1","0","4","4","0.78","0.88","0","0",,,"1","30","2024-02-07 15:38:31"
"6543f7e306c0fc611aafc81d",,"0","8","4","2","5","5","0","1","631","948","0","1","1","4","0.16","0.84","0","0",,,"1","35","2024-02-07 15:38:34"
"6543f7e306c0fc611aafc81d",,"0","9","13","2","5","5","1","0","1081","1348","1","0","3","3","0.55","0.63","0","0",,,"1","40","2024-02-07 15:38:37"
"6543f7e306c0fc611aafc81d",,"0","10","2","2","5","5","1","0","632","865","1","0","1","2","0.12","0.45","0","0",,,"0","40","2024-02-07 15:38:39"
"6543f7e306c0fc611aafc81d",,"0","11","0","2","5","5","0","1","515","832","0","1","1","4","0.12","0.88","0","0",,,"1","45","2024-02-07 15:38:42"
"6543f7e306c0fc611aafc81d",,"0","12","10","2","5","5","0","1","598","882","0","1","2","3","0.37","0.63","0","0",,,"0","45","2024-02-07 15:38:44"
"6543f7e306c0fc611aafc81d",,"0","13","4","2","5","5","0","1","465","732","0","1","1","4","0.16","0.84","0","0",,,"1","50","2024-02-07 15:38:46"
"6543f7e306c0fc611aafc81d",,"0","14","11","2","5","5","1","0","698","982","1","0","2","2","0.37","0.45","0","0",,,"1","55","2024-02-07 15:38:49"
"6543f7e306c0fc611aafc81d",,"0","15","10","2","5","5","1","0","498","765","1","0","2","3","0.37","0.63","0","0",,,"1","60","2024-02-07 15:38:51"
"6543f7e306c0fc611aafc81d",,"0","16","11","2","5","5","0","1","948","1232","0","1","2","2","0.37","0.45","0","0",,,"1","65","2024-02-07 15:38:54"
"6543f7e306c0fc611aafc81d",,"0","17","15","2","5","5","0","1","1115","1365","0","1","4","4","0.78","0.88","0","0",,,"1","70","2024-02-07 15:38:57"
"6543f7e306c0fc611aafc81d",,"0","18","9","2","5","5","0","1","515","715","0","1","2","4","0.37","0.84","0","0",,,"1","75","2024-02-07 15:38:59"
"6543f7e306c0fc611aafc81d",,"0","19","7","2","5","5","1","0","566","799","1","0","1","4","0.29","0.88","0","0",,,"1","80","2024-02-07 15:39:01"
"6543f7e306c0fc611aafc81d",,"0","20","11","2","5","5","0","1","748","932","0","1","2","2","0.37","0.45","0","0",,,"0","80","2024-02-07 15:39:04"
"6543f7e306c0fc611aafc81d",,"0","21","3","2","5","5","1","0","698","1015","1","0","1","1","0.12","0.22","0","0",,,"0","80","2024-02-07 15:39:06"
"6543f7e306c0fc611aafc81d",,"0","22","1","2","5","5","1","0","548","782","1","0","1","4","0.12","0.71","0","0",,,"1","85","2024-02-07 15:39:09"
"6543f7e306c0fc611aafc81d",,"0","23","12","2","5","5","0","1","582","749","0","1","3","4","0.55","0.88","0","0",,,"1","90","2024-02-07 15:39:11"
"6543f7e306c0fc611aafc81d",,"0","24","14","2","5","5","1","0","882","1065","1","0","3","4","0.63","0.78","0","0",,,"1","95","2024-02-07 15:39:14"
"6543f7e306c0fc611aafc81d",,"0","25","2","2","5","5","1","0","531","715","1","0","1","2","0.12","0.45","0","0",,,"1","100","2024-02-07 15:39:16"
"6543f7e306c0fc611aafc81d",,"0","26","5","2","5","5","0","1","598","849","0","1","1","3","0.16","0.63","0","0",,,"0","100","2024-02-07 15:39:18"
"6543f7e306c0fc611aafc81d",,"0","27","2","2","5","5","0","1","532","700","0","1","1","2","0.12","0.45","0","0",,,"1","105","2024-02-07 15:39:21"
"6543f7e306c0fc611aafc81d",,"0","28","0","2","5","5","1","0","499","666","1","0","1","4","0.12","0.88","0","0",,,"1","110","2024-02-07 15:39:23"
"6543f7e306c0fc611aafc81d",,"0","29","4","2","5","5","0","1","631","732","0","1","1","4","0.16","0.84","0","0",,,"1","115","2024-02-07 15:39:25"
"6543f7e306c0fc611aafc81d",,"0","30","11","2","5","5","1","0","799","999","1","0","2","2","0.37","0.45","0","0",,,"0","115","2024-02-07 15:39:28"
"6543f7e306c0fc611aafc81d",,"0","31","2","2","5","5","1","0","582","765","1","0","1","2","0.12","0.45","0","0",,,"1","120","2024-02-07 15:39:30"
"6543f7e306c0fc611aafc81d",,"0","32","13","2","5","5","0","1","1132","1465","0","1","3","3","0.55","0.63","0","0",,,"0","120","2024-02-07 15:39:33"
"6543f7e306c0fc611aafc81d",,"0","33","13","2","5","5","1","0","948","1198","1","0","3","3","0.55","0.63","0","0",,,"1","125","2024-02-07 15:39:36"
"6543f7e306c0fc611aafc81d",,"0","34","4","2","5","5","0","1","515","733","0","1","1","4","0.16","0.84","0","0",,,"1","130","2024-02-07 15:39:38"
"6543f7e306c0fc611aafc81d",,"0","35","12","2","5","5","0","1","632","949","0","1","3","4","0.55","0.88","0","0",,,"1","135","2024-02-07 15:39:41"
