"prolificID","session","t","block","choice","outcome","cfoutcome","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","missedTrial","score","datetime"
"test","0","0",NULL,"1","0",NULL,"0","0",NULL,"1379",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-07 17:13:53"
"test","0","0",NULL,"1","0",NULL,"0","0",NULL,"1959",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:14:27"
"test","0","0",NULL,"1","0",NULL,"0","0",NULL,"1799",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:23:23"
"test","0","1",NULL,"1","0",NULL,"0","0",NULL,"2919",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:23:27"
"test","0","2",NULL,"1","0",NULL,"0","0",NULL,"3919",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:23:31"
"test","0","3",NULL,"1","0",NULL,"0","0",NULL,"5059",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:23:35"
"test","0","0",NULL,"1","0",NULL,"0","0",NULL,"1639",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 12:30:49"
"test","0","0",NULL,"2","0",NULL,"0","0",NULL,"1779",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 13:48:42"
"test","0","1",NULL,"1","0",NULL,"0","0",NULL,"2719",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 13:48:47"
"test","0","2",NULL,"1","0",NULL,"0","0",NULL,"3600",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"2023-12-08 13:48:51"
"test","1","0","-1","2","0","0","0","0","278","520","0","0","0","0","0.231475","0.880797","0","0","2023-12-09 12:04:43"
"test","1","1","-1","2","0","0","0","1","21","544","0","0","0","0","0.880797","0.832018","0","0","2023-12-09 12:04:47"
"test","1","2","-1","1","0","0","0","1","301","686","0","0","0","0","0.832018","0.167982","0","0","2023-12-09 12:04:51"
"test","1","3","-1","1","0","0","0","1","237","663","0","0","0","0","0.880797","0.832018","0","0","2023-12-09 12:04:55"
"test","1","4","-1","1","0","0","0","1","59","2571","0","0","0","0","0.768525","0.768525","0","0","2023-12-09 12:06:06"
"test","2","0","0","2","49","56","0","0","164","636","0","0","0","0","0.768525","0.768525","0","49","2023-12-09 12:06:41"
"test","2","1","1","2","9","72","0","0","759","2392","0","0","0","0","0.768525","0.768525","0","58","2023-12-09 12:06:47"
"test","2","2","0","1","58","60","0","0","517","946","0","0","0","0","0.768525","0.768525","0","116","2023-12-09 12:06:52"
"test","2","3","0","1","66","13","0","1","500","1047","0","0","0","0","0.768525","0.768525","0","182","2023-12-09 12:06:56"
"test","1","0","-1","1","0","0","0","1","1263","518","0","0","50","50","0.880797","0.549834","0","0","2023-12-15 17:25:16"
"test","2","0","0","2","62","69","0","0","599","938","0","0","62","38","0.880797","0.549834","0","62","2023-12-15 17:25:21"
"test","2","1","0","2","20","68","0","0","939","1127","0","0","62","38","0.880797","0.549834","0","82","2023-12-15 17:25:25"
"test","3","0","0","1","69","62","0","0","1339","1810","0","0","62","38","0.880797","0.645656","0","151","2023-12-15 17:25:31"
"test","3","1","0","1","68","20","0","1","499","1370","0","0","62","38","0.549834","0.880797","0","219","2023-12-15 17:25:36"
"test","3","2","1","1","82","9","0","0","719","1090","0","0","72","28","0.768525","0.549834","0","301","2023-12-15 17:25:41"
"test","3","3","1","1","92","47","0","1","599","898","0","0","72","28","0.880797","0.880797","1","301","2023-12-15 17:25:46"
"test","3","4","0","1","53","51","0","1","960","1062","0","0","62","38","0.167982","0.450166","0","354","2023-12-15 17:25:50"
"test","3","5","1","2","46","56","0","1","639","1006","0","0","72","28","0.354344","0.231475","1","354","2023-12-15 17:25:55"
"test","1","0","-1","1","0","0","0","1","139","839","0","0","50","50","0.119203","0.119203","1","0","2023-12-15 17:29:33"
"test","2","0","1","1","58","19","0","0","479","2014","0","0","72","28","0.119203","0.119203","0","58","2023-12-15 17:29:40"
"test","1","0","-1","0","0","0","0","0","780","3779","11","10","50","50","0.450166","0.549834","1","0","2023-12-15 17:31:23"
"test","1","0","-1","1","0","0","0","0","579","895","0","0","50","50","0.645656","0.450166","1","0","2023-12-15 17:34:47"
"test","1","0","-1","1","0","0","0","1","2268","1487","0","0","50","50","0.450166","0.167982","0","0","2023-12-15 17:37:30"
"test","2","0","1","2","70","58","0","0","2179","2563","0","0","72","28","0.450166","0.167982","0","70","2023-12-15 17:37:37"
"test","2","1","1","1","69","33","0","1","1320","1880","1","0","72","28","0.450166","0.167982","0","139","2023-12-15 17:37:43"
"test","3","0","1","1","58","70","0","1","759","1120","1","0","72","28","0.119203","0.450166","0","139","2023-12-15 17:37:48"
"test","3","1","1","1","69","33","0","0","1320","1871","0","1","72","28","0.880797","0.354344","0","139","2023-12-15 17:37:53"
"test","3","2","0","2","52","31","0","0","1339","1659","1","0","62","38","0.768525","0.549834","0","139","2023-12-15 17:37:59"
"test","1","0","-1","1","0","0","0","1","299","673","3","2","50","50","0.880797","0.167982","0","0","2023-12-15 17:39:14"
"test","2","0","0","1","54","19","0","1","559","747","1","0","62","38","0.880797","0.167982","0","54","2023-12-15 17:39:22"
"test","2","1","0","2","53","91","0","1","679","1254","0","1","62","38","0.880797","0.167982","0","107","2023-12-15 17:39:26"
"test","3","0","0","1","54","19","0","1","1219","1418","0","0","62","38","0.832018","0.450166","1","107","2023-12-15 17:39:32"
"test","3","1","0","2","53","91","0","0","1639","1938","0","0","62","38","0.832018","0.450166","1","107","2023-12-15 17:39:38"
"test","3","2","0","2","39","46","0","0","1900","2551","0","0","62","38","0.167982","0.832018","0","146","2023-12-15 17:39:45"
"test","3","3","0","2","0","73","0","0","720","1258","1","0","62","38","0.354344","0.880797","0","146","2023-12-15 17:39:50"
"test","1","0","-1","2","0","0","0","0","139","801","1","0","50","50","0.450166","0.450166","1","0","2023-12-15 17:41:26"
"test","2","0","0","1","56","58","0","0","80","2560","4","5","62","38","0.450166","0.450166","0","56","2023-12-15 17:41:37"
"test","2","1","1","1","55","33","0","1","179","1431","1","0","72","28","0.450166","0.450166","0","111","2023-12-15 17:41:42"
"test","3","0","0","1","56","58","0","0","219","1071","0","0","62","38","0.549834","0.354344","0","111","2023-12-15 17:41:47"
"test","1","0","-1","1","0","0","0","1","1439","1685","1","1","50","50","0.645656","0.167982","0","0","2023-12-15 17:45:09"
"test","2","0","0","1","54","9","0","1","19","384","1","0","62","38","0.645656","0.167982","0","54","2023-12-15 17:45:19"
"test","2","1","0","2","44","83","0","0","580","1386","1","0","62","38","0.645656","0.167982","0","98","2023-12-15 17:45:37"
"test","1","0","-1","1","0","0","0","1","19","639","1","0","50","50","0.880797","0.167982","0","0","2023-12-15 17:46:44"
"test","1","0","-1","2","0","0","0","0","19","136","3","2","50","50","0.231475","0.231475","0","0","2023-12-15 17:52:45"
"test","1","0","-1","1","0","0","0","1","32822","33288","9","6","50","50","0.768525","0.167982","0","0","2023-12-15 17:58:39"
"test","2","0","1","1","0","0","0","0","3320","3809","1","0","72","28","0.768525","0.167982","1","0","2023-12-15 17:58:46"
"test","2","1","0","2","52","21","0","1","2310","1426","0","1","62","38","0.768525","0.167982","0","52","2023-12-15 17:58:52"
"test","3","0","1","2","50","35","0","0","1459","1697","1","0","72","28","0.231475","0.549834","0","52","2023-12-15 17:58:58"
"test","1","0","-1","2","0","0","0","0","859","1414","7","6","50","50","0.167982","0.645656","1","0","2023-12-15 18:01:53"
"test","1","0","-1","2","0","0","0","0","359","926","2","0","50","50","0.768525","0.768525","0","0","2023-12-15 18:04:33"
"test","2","0","0","1","30","17","0","1","759","1130","1","0","62","38","0.768525","0.768525","0","30","2023-12-15 18:04:38"
"test","2","1","0","2","36","46","0","1","339","638","0","1","62","38","0.768525","0.768525","0","66","2023-12-15 18:04:42"
"test","3","0","1","1","95","66","0","0","1759","2219","0","1","72","28","0.167982","0.880797","0","0","2023-12-15 18:07:27"
"test","3","1","0","2","48","64","0","0","1100","1619","1","0","62","38","0.167982","0.450166","1","0","2023-12-15 18:07:33"
"test","3","2","0","2","15","53","0","0","640","919","1","0","62","38","0.231475","0.354344","1","0","2023-12-15 18:07:38"
"test","3","0","0","2","0","91","0","1","1059","1561","0","1","62","38","0.231475","0.768525","0","0","2023-12-15 18:09:19"
"test","3","1","0","2","60","44","0","0","520","856","1","0","62","38","0.167982","0.119203","0","60","2023-12-15 18:09:24"
"test","3","2","0","2","19","55","0","0","740","1204","1","0","62","38","0.354344","0.231475","0","79","2023-12-15 18:09:29"
"test","3","3","1","1","59","48","0","0","339","828","0","1","72","28","0.549834","0.354344","0","138","2023-12-15 18:09:34"
"test","3","0","0","0","0","0","0","1","3819","3819","0","0","62","38","0.354344","0.231475","1","0","2023-12-19 15:10:36"
"test","3","0","0","0","0","0","0","0","720","3824","5","5","62","38","0.549834","0.880797","1","0","2023-12-19 15:12:21"
"test","3","0","0","0","0","0","0","1","39","3806","6","7","62","38","0.450166","0.549834","1","0","2023-12-19 15:19:48"
"test","3","0","0","0","0","0","0","0","3807","3807","1","2","62","38","0.119203","0.768525","1","0","2023-12-19 15:30:40"
"test","3","0","1","2","66","70","0","0","1311","247","5","4","72","28","0.549834","0.354344","0","66","2023-12-19 15:32:29"
"test","3","1","1","1","77","46","0","1","420","735","1","0","72","28","0.832018","0.549834","0","143","2023-12-19 15:32:33"
"test","3","0","1","2","43","81","0","0","559","871","1","0","72","28","0.832018","0.167982","0","43","2023-12-19 15:32:54"
"test","3","1","0","2","48","63","0","1","19","683","0","1","62","38","0.231475","0.645656","0","91","2023-12-19 15:32:58"
"test","1","0","-1","1","0","0","0","1","20","1136","3","6","50","50","0.231475","0.231475","0","0","2023-12-19 15:33:46"
"test","1","1","-1","2","0","0","0","1","459","676","0","1","50","50","0.549834","0.880797","0","0","2023-12-19 15:33:50"
"test","1","2","-1","2","0","0","0","0","919","1227","1","0","50","50","0.119203","0.119203","0","0","2023-12-19 15:33:55"
"test","1","3","-1","1","0","0","0","1","860","1224","1","1","50","50","0.167982","0.450166","0","0","2023-12-19 15:34:00"
"test","1","4","-1","1","0","0","0","1","740","900","1","0","50","50","0.450166","0.354344","0","0","2023-12-19 15:34:05"
"test","1","0","-1","2","0","0","0","0","339","890","6","6","50","50","0.354344","0.354344","0","0","2023-12-19 15:35:01"
"test","1","1","-1","2","0","0","0","0","279","506","1","0","50","50","0.354344","0.880797","0","0","2023-12-19 15:35:05"
"test","1","2","-1","2","0","0","0","0","939","1358","1","0","50","50","0.119203","0.645656","0","0","2023-12-19 15:35:11"
"test","1","3","-1","2","0","0","0","0","360","554","1","0","50","50","0.119203","0.231475","0","0","2023-12-19 15:35:15"
"test","1","0","-1","1","0","0","0","1","99","337","5","5","50","50","0.119203","0.450166","1","0","2023-12-19 15:51:10"
"test","1","1","-1","2","0","0","0","1","60","739","1","1","50","50","0.231475","0.549834","0","0","2023-12-19 15:51:14"
"test","1","2","-1","1","0","0","0","0","320","566","0","1","50","50","0.880797","0.354344","0","0","2023-12-19 15:51:19"
"test","1","3","-1","2","0","0","0","0","20","303","1","1","50","50","0.549834","0.880797","0","0","2023-12-19 15:51:23"
"test","1","4","-1","2","0","0","0","1","460","1119","1","2","50","50","0.450166","0.354344","0","0","2023-12-19 15:51:28"
"test","2","0","1","1","74","30","0","1","459","843","1","0","72","28","0.450166","0.354344","0","74","2023-12-19 15:51:33"
"test","1","0","-1","2","0","0","0","1","39","164","3","4","50","50","0.354344","0.880797","0","0","2023-12-19 15:52:18"
"test","2","0","0","2","10","52","0","1","1019","2369","0","1","62","38","0.354344","0.880797","0","10","2023-12-19 15:52:24"
"test","2","1","1","2","2","62","0","1","2239","2445","0","1","72","28","0.354344","0.880797","0","12","2023-12-19 15:52:30"
"test","3","0","0","2","10","52","0","0","520","1141","2","1","62","38","0.645656","0.645656","0","12","2023-12-19 15:52:35"
"test","3","1","1","1","62","2","0","1","180","345","1","0","72","28","0.768525","0.645656","1","12","2023-12-19 15:52:39"
"test","1","0","-1","2","0","0","0","0","440","554","5","6","50","50","0.645656","0.880797","0","0","2023-12-19 16:02:11"
"test","2","0","1","2","39","49","0","0","519","686","1","0","72","28","0.645656","0.880797","0","39","2023-12-19 16:02:15"
"test","2","1","0","2","39","74","0","0","2099","2214","1","0","62","38","0.645656","0.880797","0","78","2023-12-19 16:02:22"
"test","3","0","1","2","39","49","0","0","1399","1542","1","0","72","28","0.119203","0.354344","0","117","2023-12-19 16:02:27"
"test","3","1","0","1","74","39","0","1","740","1614","1","0","62","38","0.880797","0.880797","0","191","2023-12-19 16:02:33"
"test","1","0","-1","1","0","0","0","0","1720","1977","4","4","50","50","0.832018","0.231475","0","0","2023-12-19 16:04:14"
"test","2","0","1","1","82","14","0","1","559","697","1","0","72","28","0.832018","0.231475","0","82","2023-12-19 16:04:18"
"test","2","1","0","1","39","27","0","1","880","1077","1","0","62","38","0.832018","0.231475","0","121","2023-12-19 16:04:23"
"test","3","0","1","1","82","14","0","0","1560","1685","0","1","72","28","0.832018","0.645656","0","203","2023-12-19 16:04:29"
"test","3","1","0","2","27","39","0","0","1079","1221","1","0","62","38","0.450166","0.354344","0","230","2023-12-19 16:04:34"
