"id","prolificID","expName","riskScore","timestamp","created_at"
"1","random-6342783077","FullPilot12_2","5","2025-09-16T12:26:21.568Z","2025-09-16 12:26:21"
"2","random-4866956984","FullPilot12_2","5","2025-09-16T13:43:12.463Z","2025-09-16 13:43:12"
"3","random-9516277840","FullPilot12_2","5","2025-09-17T10:40:09.001Z","2025-09-17 10:40:04"
"4","random-4586268227","FullPilot12_2","5","2025-09-17T12:02:55.461Z","2025-09-17 12:02:50"
"5","random-1823968747","FullPilot12_2","6","2025-09-17T12:12:22.021Z","2025-09-17 12:12:17"
"6","random-2204598362","FullPilot12_2","5","2025-09-17T12:33:53.727Z","2025-09-17 12:33:48"
"7","random-6277681824","FullPilot12_2","5","2025-09-17T14:08:10.987Z","2025-09-17 14:08:06"
"8","random-3598048049","FullPilot12_2","5","2025-09-17T14:08:40.514Z","2025-09-17 14:08:35"
"9","random-5655792131","FullPilot12_2","1","2025-09-17T14:11:28.697Z","2025-09-17 14:11:29"
"10","random-9238715","FullPilot12_2","5","2025-09-17T14:18:19.934Z","2025-09-17 14:18:20"
"11","random-8018473290","FullPilot12_2","5","2025-09-17T14:21:42.970Z","2025-09-17 14:21:43"
"12","58f4d676c8b7eb0001879416","FullPilot12_2","4","2025-09-17T16:22:25.879Z","2025-09-17 16:22:26"
"13","63d71e67dd0fcccd3cc745b0","FullPilot12_2","9","2025-09-17T16:30:52.764Z","2025-09-17 16:30:53"
"14","random-9503309693","FullPilot12_2","5","2025-09-17T16:38:19.378Z","2025-09-17 16:38:19"
