"expName","prolificID","choice_0","choice_1","choice_2","choice_3","choice_4","choice_5","choice_6","choice_7","choice_8","choice_9","selected","amount","timestamp"
"FullPilot12_2","kerstin","0","0","0","0","0","0","0","1","1","1","1","2.09","2025-07-03 08:28:03"
"FullPilot12_2","random-2535575313","0","0","0","1","1","1","1","1","1","1","6","2.81","2025-09-12 15:35:39"
"FullPilot12_2","random-5382485582","0","0","0","0","0","0","0","0","0","0","9","1.46","2025-09-15 11:00:12"
"FullPilot12_2","random-6342783077","0","0","0","0","0","1","1","1","1","1","0","1.17","2025-09-16 12:27:32"
"FullPilot12_2","random-4866956984","0","0","0","0","1","1","1","1","1","1","3","1.46","2025-09-16 13:43:30"
"FullPilot12_2","random-9516277840","0","0","0","0","0","1","1","1","1","1","6","2.81","2025-09-17 10:40:38"
"FullPilot12_2","random-5655792131","0","0","1","1","1","1","1","1","1","1","8","2.54","2025-09-17 14:11:53"
"FullPilot12_2","random-9238715","1","1","1","1","1","1","1","1","1","1","3","0.07","2025-09-17 14:18:41"
"FullPilot12_2","random-8018473290","0","0","0","0","1","1","1","1","1","1","3","1.06","2025-09-17 14:22:06"
"FullPilot12_2","58f4d676c8b7eb0001879416","0","0","0","0","0","0","0","0","0","1","2","1.06","2025-09-17 16:25:18"
"FullPilot12_2","63d71e67dd0fcccd3cc745b0","0","0","0","0","0","0","0","1","1","1","9","2.54","2025-09-17 16:34:18"
