agent,model,trial,session,ll,param_0,param_1
5484d361fdf99b0379939d5b,absolute,0,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,1,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,2,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,3,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,4,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,5,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,6,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,7,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,8,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,9,0,,1.0,1.0
5484d361fdf99b0379939d5b,absolute,10,0,-0.6924137760512901,0.9999964448614207,0.9999964448614207
5484d361fdf99b0379939d5b,absolute,11,0,-0.779141851620019,0.9999939697142537,0.9999939697142537
5484d361fdf99b0379939d5b,absolute,12,0,-0.5855917473628987,0.9999948594140342,0.9999939688236686
5484d361fdf99b0379939d5b,absolute,13,0,-0.48051486808872035,0.9999945300442787,0.9999928433336843
5484d361fdf99b0379939d5b,absolute,14,0,-0.8162258820383972,0.9999955507635018,0.9999919121598272
5484d361fdf99b0379939d5b,absolute,15,0,-0.4807025729011869,1.000009074222825,1.0000054356191994
5484d361fdf99b0379939d5b,absolute,16,0,-0.5720119155754073,1.0000087140123814,1.0000047544030253
5484d361fdf99b0379939d5b,absolute,17,0,-0.6869792422338037,1.0000139464686948,1.0000128467849627
5484d361fdf99b0379939d5b,absolute,18,0,-0.5727084284883226,1.0000139464686948,1.0000128467849627
5484d361fdf99b0379939d5b,absolute,19,0,-0.5566926927524616,1.0000139464686948,1.0000128467849627
5484d361fdf99b0379939d5b,absolute,20,0,-0.5580031074573419,1.000017043252868,1.0000137440634214
5484d361fdf99b0379939d5b,absolute,21,0,-0.602570274194095,1.0000169692538234,1.0000144528278236
5484d361fdf99b0379939d5b,absolute,22,0,-0.8593610200929138,1.000020894036088,1.0000144488990559
5484d361fdf99b0379939d5b,absolute,23,0,-0.6145917049311471,1.0000236566873506,1.0000170833730393
5484d361fdf99b0379939d5b,absolute,24,0,-0.6049012095919437,1.0000236056572207,1.000017822821706
5484d361fdf99b0379939d5b,absolute,25,0,-0.7524863323336142,1.0000236056572207,1.000017822821706
5484d361fdf99b0379939d5b,absolute,26,0,-0.6601947734836742,1.0000251311957356,1.000017817732487
5484d361fdf99b0379939d5b,absolute,27,0,-0.3764814209677354,1.0000251311957356,1.000017817732487
5484d361fdf99b0379939d5b,absolute,28,0,-0.6891242184637676,1.0000251311957356,1.000017817732487
5484d361fdf99b0379939d5b,absolute,29,0,-0.4607720368642383,1.000025234207871,1.000017093257666
5484d361fdf99b0379939d5b,absolute,30,0,-0.7177505489321838,1.000025453794734,1.0000174081790971
5484d361fdf99b0379939d5b,absolute,31,0,-0.5391618341287661,1.0000267397714337,1.000019202679099
5484d361fdf99b0379939d5b,absolute,32,0,-0.5446408187215255,1.0000331788290637,1.0000278978545645
5484d361fdf99b0379939d5b,absolute,33,0,-0.7288979604190473,1.0000331788290637,1.0000278978545645
5484d361fdf99b0379939d5b,absolute,34,0,-0.6782556391209482,1.0000332554290925,1.0000279744545937
5484d361fdf99b0379939d5b,absolute,35,0,-0.6530233274270714,1.0000332554290925,1.0000279744545937
5484d361fdf99b0379939d5b,absolute,36,0,-0.611326698558802,1.000033255429076,1.0000279744545773
5484d361fdf99b0379939d5b,absolute,37,0,-0.6565687969292178,1.0000322572673555,1.0000269886282744
5484d361fdf99b0379939d5b,absolute,38,0,-0.5345292259195524,1.0000288869848146,1.0000236710488049
5484d361fdf99b0379939d5b,absolute,39,0,-0.7088393460704161,1.0000480057567682,1.0000231900644272
5484d361fdf99b0379939d5b,absolute,40,0,-0.5979313029719044,1.0000480057567682,1.0000231900644272
5484d361fdf99b0379939d5b,absolute,41,0,-0.585779201424387,1.0000480057567682,1.0000231900644272
5484d361fdf99b0379939d5b,absolute,42,0,-0.6196183225460032,1.0000460934546425,1.0000212778097541
5484d361fdf99b0379939d5b,absolute,43,0,-0.5746229757475199,1.0000460934546425,1.0000212778097541
5484d361fdf99b0379939d5b,absolute,44,0,-0.4801930106021217,1.0000469408118977,1.0000212298645188
5484d361fdf99b0379939d5b,absolute,45,0,-0.5923115665651189,1.000045989255416,1.0000202783325014
5484d361fdf99b0379939d5b,absolute,46,0,-0.6929759315629589,1.000049747106679,1.0000241800410596
5484d361fdf99b0379939d5b,absolute,47,1,-1.2042600092032103,1.000055186875983,1.0000295240410884
5484d361fdf99b0379939d5b,absolute,48,1,-1.0457452008389225,1.0000551162031666,1.0000294532705685
5484d361fdf99b0379939d5b,absolute,49,1,-0.28394305750698123,1.000057176097702,1.0000315132645488
5484d361fdf99b0379939d5b,absolute,50,1,-0.2012467240660456,1.000057176097702,1.0000315132645488
5484d361fdf99b0379939d5b,absolute,51,1,-0.4009216662344173,1.0000565489539015,1.0000309057210934
5484d361fdf99b0379939d5b,absolute,52,1,-0.24880689244584175,1.0000575436959642,1.0000309047253249
5484d361fdf99b0379939d5b,absolute,53,1,-0.2727106821394685,1.0000602468277593,1.000034131942547
5484d361fdf99b0379939d5b,absolute,54,1,-0.6378432951379409,1.0000602468277593,1.000034131942547
5484d361fdf99b0379939d5b,absolute,55,1,-0.9460607294616068,1.0000494385247274,1.0000232969616847
5484d361fdf99b0379939d5b,absolute,56,1,-0.5282151902395285,1.0000493152043486,1.0000231736445295
5484d361fdf99b0379939d5b,absolute,57,1,0.024158412697758536,1.0000351109139487,1.0000089697254337
5484d361fdf99b0379939d5b,absolute,58,1,-0.7910444819108804,1.0000351109139487,1.0000089697254337
5484d361fdf99b0379939d5b,absolute,59,1,-1.222988691011274,1.0000420852062637,1.0000089160061743
5484d361fdf99b0379939d5b,absolute,60,1,0.017004272146877497,1.0000420852062637,1.0000089160061743
5484d361fdf99b0379939d5b,absolute,61,1,-0.5252944922597464,1.0000420852062637,1.0000089160061743
5484d361fdf99b0379939d5b,absolute,62,1,-1.5875625799450503,1.000047390388972,1.000014219991152
5484d361fdf99b0379939d5b,absolute,63,1,-0.8152855775232624,1.000051112586146,1.0000179421884494
5484d361fdf99b0379939d5b,absolute,64,1,-1.4188766472527092,1.000051112586146,1.0000179421884494
5484d361fdf99b0379939d5b,absolute,65,1,-1.347655037954631,1.0000511049478376,1.000020043234525
5484d361fdf99b0379939d5b,absolute,66,1,0.21937636748705813,1.0000584705436237,1.0000172749609821
5484d361fdf99b0379939d5b,absolute,67,1,-0.619840229064593,1.0000584705436237,1.0000172749609821
5484d361fdf99b0379939d5b,absolute,68,1,-0.0755799436034863,1.0000486101807144,1.0000074150042526
5484d361fdf99b0379939d5b,absolute,69,1,-0.7980442882631635,1.0000486101807144,1.0000074150042526
5484d361fdf99b0379939d5b,absolute,70,1,-0.8513274019723696,1.0000486101807144,1.0000074150042526
