agent,expName,model,0
5484a2b2fdf99b07b28f2335,FullPilot13,independent,3
5484a2b2fdf99b07b28f2335,FullPilot13,log-ratio,3
5484a2b2fdf99b07b28f2335,FullPilot13,single,3
5484d361fdf99b0379939d5b,FullPilot12,independent,3
5484d361fdf99b0379939d5b,FullPilot12,log-ratio,3
5484d361fdf99b0379939d5b,FullPilot12,single,3
559c3a4dfdf99b32b6963e70,FullPilot13,independent,3
559c3a4dfdf99b32b6963e70,FullPilot13,log-ratio,3
559c3a4dfdf99b32b6963e70,FullPilot13,single,3
57027c1f68c641000e0c8970,FullPilot13,independent,3
57027c1f68c641000e0c8970,FullPilot13,log-ratio,3
57027c1f68c641000e0c8970,FullPilot13,single,3
57bb618b8e26d6000196c3bb,FullPilot13,independent,3
57bb618b8e26d6000196c3bb,FullPilot13,log-ratio,3
57bb618b8e26d6000196c3bb,FullPilot13,single,3
57d810f1813eb30001825b65,FullPilot14,independent,3
57d810f1813eb30001825b65,FullPilot14,log-ratio,3
57d810f1813eb30001825b65,FullPilot14,single,3
58c1ce3c3783090001b49355,FullPilot13,independent,3
58c1ce3c3783090001b49355,FullPilot13,log-ratio,3
58c1ce3c3783090001b49355,FullPilot13,single,3
58c42d725866f200017c5deb,FullPilot12,independent,3
58c42d725866f200017c5deb,FullPilot12,log-ratio,3
58c42d725866f200017c5deb,FullPilot12,single,3
58e558cc728bea0001bbda24,FullPilot13,independent,3
58e558cc728bea0001bbda24,FullPilot13,log-ratio,3
58e558cc728bea0001bbda24,FullPilot13,single,3
59daff10e776fd00015ec7ec,FullPilot13,independent,3
59daff10e776fd00015ec7ec,FullPilot13,log-ratio,3
59daff10e776fd00015ec7ec,FullPilot13,single,3
5a4245ef7aebf70001152ee6,FullPilot13,independent,3
5a4245ef7aebf70001152ee6,FullPilot13,log-ratio,3
5a4245ef7aebf70001152ee6,FullPilot13,single,3
5a580fb6eedc320001426cd7,FullPilot12,independent,3
5a580fb6eedc320001426cd7,FullPilot12,log-ratio,3
5a580fb6eedc320001426cd7,FullPilot12,single,3
5a9353586219a30001d2f2af,FullPilot12,independent,3
5a9353586219a30001d2f2af,FullPilot12,log-ratio,3
5a9353586219a30001d2f2af,FullPilot12,single,3
5a9416ba6475f900019fa690,FullPilot12,independent,3
5a9416ba6475f900019fa690,FullPilot12,log-ratio,3
